event_id,event_date,event_country,affected_country,program_name,event_type,direction,car_0_5,is_domestic
14,2015-01-22,EA,NO,APP,initiation,1,0.0015248309865193172,FALSE
14,2015-01-22,EA,SE,APP,initiation,1,0.04842622316561507,FALSE
14,2015-01-22,EA,US,APP,initiation,1,-5.204170427930421e-18,FALSE
15,2016-03-10,EA,CH,APP,expansion,1,-0.0258973673766358,FALSE
15,2016-03-10,EA,DK,APP,expansion,1,0.0019881877764016623,FALSE
15,2016-03-10,EA,EA,APP,expansion,1,0.0019881877764016623,TRUE
15,2016-03-10,EA,GB,APP,expansion,1,-0.0039017940611994427,FALSE
15,2016-03-10,EA,JP,APP,expansion,1,0.013516763973618458,FALSE
15,2016-03-10,EA,NO,APP,expansion,1,-0.005889968339976462,FALSE
15,2016-03-10,EA,SE,APP,expansion,1,-0.016781206944651003,FALSE
15,2016-03-10,EA,US,APP,expansion,1,-1.1384122811097797e-17,FALSE
17,2020-03-18,EA,CH,PEPP,initiation,1,0.06699988472965956,FALSE
17,2020-03-18,EA,DK,PEPP,initiation,1,0.11655573063370753,FALSE
17,2020-03-18,EA,EA,PEPP,initiation,1,0.11655573063370753,TRUE
17,2020-03-18,EA,GB,PEPP,initiation,1,0.0862257317943913,FALSE
17,2020-03-18,EA,JP,PEPP,initiation,1,0.08036905023066221,FALSE
17,2020-03-18,EA,NO,PEPP,initiation,1,0.07872301031158872,FALSE
17,2020-03-18,EA,SE,PEPP,initiation,1,0.06763898768687054,FALSE
17,2020-03-18,EA,US,PEPP,initiation,1,1.1275702593849246e-17,FALSE
19,2013-04-04,JP,CH,QQE,initiation,1,-0.024852965423187198,FALSE
19,2013-04-04,JP,DK,QQE,initiation,1,-0.024836072097999703,FALSE
19,2013-04-04,JP,EA,QQE,initiation,1,-0.024836072097999703,FALSE
19,2013-04-04,JP,GB,QQE,initiation,1,-0.0177747903712653,FALSE
19,2013-04-04,JP,JP,QQE,initiation,1,0.0798437970370481,TRUE
19,2013-04-04,JP,NO,QQE,initiation,1,-0.025749056645429924,FALSE
19,2013-04-04,JP,SE,QQE,initiation,1,-0.028443423076208577,FALSE
19,2013-04-04,JP,US,QQE,initiation,1,1.0408340855860843e-17,FALSE
20,2014-10-31,JP,CH,QQE2,expansion,1,0.0014027220591054834,FALSE
20,2014-10-31,JP,DK,QQE2,expansion,1,0.0055636744835078755,FALSE
20,2014-10-31,JP,EA,QQE2,expansion,1,0.0055636744835078755,FALSE
20,2014-10-31,JP,GB,QQE2,expansion,1,0.008524519387965562,FALSE
20,2014-10-31,JP,JP,QQE2,expansion,1,0.06768500577474286,TRUE
20,2014-10-31,JP,NO,QQE2,expansion,1,-0.003035357388936416,FALSE
20,2014-10-31,JP,SE,QQE2,expansion,1,-0.0025572249009165175,FALSE
20,2014-10-31,JP,US,QQE2,expansion,1,2.610216730258852e-17,FALSE
21,2016-01-29,JP,CH,NIRP,framework,1,-0.018911844168930193,FALSE
21,2016-01-29,JP,DK,NIRP,framework,1,-0.027802185616143518,FALSE
21,2016-01-29,JP,EA,NIRP,framework,1,-0.027802185616143518,FALSE
21,2016-01-29,JP,GB,NIRP,framework,1,-0.007055748615772442,FALSE
21,2016-01-29,JP,JP,NIRP,framework,1,-0.009808948540141168,TRUE
21,2016-01-29,JP,NO,NIRP,framework,1,0.022564432036436696,FALSE
21,2016-01-29,JP,SE,NIRP,framework,1,0.006619791497451021,FALSE
21,2016-01-29,JP,US,NIRP,framework,1,0,FALSE
22,2016-09-21,JP,CH,YCC,framework,1,-0.00835841958175909,FALSE
22,2016-09-21,JP,DK,YCC,framework,1,-0.006731345258172737,FALSE
22,2016-09-21,JP,EA,YCC,framework,1,-0.006731345258172737,FALSE
22,2016-09-21,JP,GB,YCC,framework,1,-0.01015365894817133,FALSE
22,2016-09-21,JP,JP,YCC,framework,1,0.019703881076115856,TRUE
22,2016-09-21,JP,NO,YCC,framework,1,-0.008673760859900119,FALSE
22,2016-09-21,JP,SE,YCC,framework,1,-0.003000991120603395,FALSE
22,2016-09-21,JP,US,YCC,framework,1,-1.5612511283791264e-17,FALSE
23,2022-12-20,JP,CH,YCC_adjust,tapering,-1,0.008423304441581373,FALSE
23,2022-12-20,JP,DK,YCC_adjust,tapering,-1,0.003028882370152604,FALSE
23,2022-12-20,JP,EA,YCC_adjust,tapering,-1,0.003028882370152604,FALSE
23,2022-12-20,JP,GB,YCC_adjust,tapering,-1,0.016645205441264545,FALSE
23,2022-12-20,JP,JP,YCC_adjust,tapering,-1,-0.03688890663286168,TRUE
23,2022-12-20,JP,NO,YCC_adjust,tapering,-1,0.004830682335679793,FALSE
23,2022-12-20,JP,SE,YCC_adjust,tapering,-1,0.0064850144584290125,FALSE
23,2022-12-20,JP,US,YCC_adjust,tapering,-1,-2.8189256484623115e-18,FALSE
24,2024-03-19,JP,CH,NIRP_exit,end,-1,0.0035311919524454857,FALSE
24,2024-03-19,JP,DK,NIRP_exit,end,-1,0.019719762463937054,FALSE
24,2024-03-19,JP,EA,NIRP_exit,end,-1,0.019719762463937054,FALSE
24,2024-03-19,JP,GB,NIRP_exit,end,-1,0.02503833772015973,FALSE
24,2024-03-19,JP,JP,NIRP_exit,end,-1,0.015743022776410237,TRUE
24,2024-03-19,JP,NO,NIRP_exit,end,-1,0.014895676023935269,FALSE
24,2024-03-19,JP,SE,NIRP_exit,end,-1,0.01207973184851871,FALSE
24,2024-03-19,JP,US,NIRP_exit,end,-1,-6.071532165918825e-18,FALSE
25,2009-03-05,GB,CH,APF,initiation,1,0.019614810778985338,FALSE
25,2009-03-05,GB,DK,APF,initiation,1,-0.010726804003373752,FALSE
25,2009-03-05,GB,EA,APF,initiation,1,-0.010726804003373752,FALSE
25,2009-03-05,GB,GB,APF,initiation,1,-0.0031981681908069097,TRUE
25,2009-03-05,GB,JP,APF,initiation,1,-0.007637509302177631,FALSE
25,2009-03-05,GB,NO,APF,initiation,1,-0.028406163085750988,FALSE
25,2009-03-05,GB,SE,APF,initiation,1,0.03435682840741787,FALSE
25,2009-03-05,GB,US,APF,initiation,1,-8.478460988836645e-17,FALSE
28,2016-08-04,GB,CH,APF_Brexit,expansion,1,0.03308930708742856,FALSE
28,2016-08-04,GB,DK,APF_Brexit,expansion,1,0.04958795450107998,FALSE
28,2016-08-04,GB,EA,APF_Brexit,expansion,1,0.04958795450107998,FALSE
28,2016-08-04,GB,GB,APF_Brexit,expansion,1,0.03286614205422662,TRUE
28,2016-08-04,GB,JP,APF_Brexit,expansion,1,0.05790385424301819,FALSE
28,2016-08-04,GB,NO,APF_Brexit,expansion,1,0.022959537623834764,FALSE
28,2016-08-04,GB,SE,APF_Brexit,expansion,1,0.0453560946775724,FALSE
28,2016-08-04,GB,US,APF_Brexit,expansion,1,-7.047314121155779e-18,FALSE
29,2020-03-19,GB,CH,APF_COVID,expansion,1,0.04541741236565367,FALSE
29,2020-03-19,GB,DK,APF_COVID,expansion,1,0.09578933772353088,FALSE
29,2020-03-19,GB,EA,APF_COVID,expansion,1,0.09578933772353088,FALSE
29,2020-03-19,GB,GB,APF_COVID,expansion,1,0.08309459847545662,TRUE
29,2020-03-19,GB,JP,APF_COVID,expansion,1,0.1322213944399085,FALSE
29,2020-03-19,GB,NO,APF_COVID,expansion,1,0.04132403986116421,FALSE
29,2020-03-19,GB,SE,APF_COVID,expansion,1,0.023719683382084533,FALSE
29,2020-03-19,GB,US,APF_COVID,expansion,1,8.326672684688674e-17,FALSE
30,2015-02-12,SE,CH,SEK_QE,initiation,1,0.022962135818389916,FALSE
30,2015-02-12,SE,DK,SEK_QE,initiation,1,0.016233625460641016,FALSE
30,2015-02-12,SE,EA,SEK_QE,initiation,1,0.016233625460641016,FALSE
30,2015-02-12,SE,GB,SEK_QE,initiation,1,0.006378608193892659,FALSE
30,2015-02-12,SE,JP,SEK_QE,initiation,1,0.0232715730444472,FALSE
30,2015-02-12,SE,NO,SEK_QE,initiation,1,0.004916756642677598,FALSE
30,2015-02-12,SE,SE,SEK_QE,initiation,1,0.031351673974632066,TRUE
30,2015-02-12,SE,US,SEK_QE,initiation,1,3.3610267347050637e-18,FALSE
33,2020-03-12,SE,CH,SEK_COVID,initiation,1,0.02867128964650761,FALSE
33,2020-03-12,SE,DK,SEK_COVID,initiation,1,-0.09028014657160925,FALSE
33,2020-03-12,SE,EA,SEK_COVID,initiation,1,-0.09028014657160925,FALSE
33,2020-03-12,SE,GB,SEK_COVID,initiation,1,-0.05311578387059991,FALSE
33,2020-03-12,SE,JP,SEK_COVID,initiation,1,-0.14396507801004566,FALSE
33,2020-03-12,SE,NO,SEK_COVID,initiation,1,0.0015626320843660467,FALSE
33,2020-03-12,SE,SE,SEK_COVID,initiation,1,0.006193231973066114,TRUE
33,2020-03-12,SE,US,SEK_COVID,initiation,1,-4.683753385137379e-17,FALSE
34,2009-03-12,CH,CH,FX_QE,initiation,1,0.014117870257450819,TRUE
34,2009-03-12,CH,DK,FX_QE,initiation,1,-0.012515096372444396,FALSE
34,2009-03-12,CH,EA,FX_QE,initiation,1,-0.012515096372444396,FALSE
34,2009-03-12,CH,GB,FX_QE,initiation,1,-0.003419455033846634,FALSE
34,2009-03-12,CH,JP,FX_QE,initiation,1,0.0765892422316652,FALSE
34,2009-03-12,CH,NO,FX_QE,initiation,1,-0.0023361812309275736,FALSE
34,2009-03-12,CH,SE,FX_QE,initiation,1,-0.02299208630574672,FALSE
34,2009-03-12,CH,US,FX_QE,initiation,1,5.204170427930421e-17,FALSE
35,2011-09-06,CH,CH,EUR_floor,framework,1,0.050027098806103724,TRUE
35,2011-09-06,CH,DK,EUR_floor,framework,1,-0.01153323774031948,FALSE
35,2011-09-06,CH,EA,EUR_floor,framework,1,-0.01153323774031948,FALSE
35,2011-09-06,CH,GB,EUR_floor,framework,1,0.01710123658717986,FALSE
35,2011-09-06,CH,JP,EUR_floor,framework,1,-0.017301998274857844,FALSE
35,2011-09-06,CH,NO,EUR_floor,framework,1,-0.0066858657001596525,FALSE
35,2011-09-06,CH,SE,EUR_floor,framework,1,-0.003630066040539546,FALSE
35,2011-09-06,CH,US,EUR_floor,framework,1,0,FALSE
36,2015-01-15,CH,CH,EUR_floor_end,end,-1,-0.18353667642542523,TRUE
36,2015-01-15,CH,DK,EUR_floor_end,end,-1,0.03496187713210168,FALSE
36,2015-01-15,CH,EA,EUR_floor_end,end,-1,0.03496187713210168,FALSE
36,2015-01-15,CH,GB,EUR_floor_end,end,-1,0.0454986259384291,FALSE
36,2015-01-15,CH,JP,EUR_floor_end,end,-1,0.017837514278578517,FALSE
36,2015-01-15,CH,NO,EUR_floor_end,end,-1,0.008503655165140313,FALSE
36,2015-01-15,CH,SE,EUR_floor_end,end,-1,0.037119678751043404,FALSE
36,2015-01-15,CH,US,EUR_floor_end,end,-1,-1.3010426069826053e-17,FALSE
