event_id,date,country,central_bank,event_type,direction,program_name,surprise,tier,alpha,beta,sigma,r_sq,n_est,reliable,car_m1_0,t_m1_0,car_d0,t_d0,car_d0_p1,t_d0_p1,car_m1_p1,t_m1_p1,car_d0_p5,t_d0_p5,car_d0_p10,t_d0_p10
11,2010-05-10,EA,ECB,initiation,1,SMP,high,1,1.4503396537663852e-4,0.9522388185347557,0.008233891733960544,0.5740373086417977,196,TRUE,-0.00819091793711215,-0.7034162950656891,0.010505607787804162,1.2758982176646756,0.016885941055351888,1.450123928361682,-0.0018105846695644252,-0.1269559498884516,0.036790348768841234,1.824118834171775,0.046591661545905064,1.7061087238829655
12,2012-07-26,EA,ECB,shock_speech,1,OMT_signal,high,1,-2.3359306275550317e-4,1.0712384898016534,0.011164956324691883,0.5857276765993501,196,TRUE,0.012915113469813857,0.8179489510498485,0.009827489624514657,0.8802085148135019,0.005853456497605523,0.37071517903600454,0.008941080342904723,0.46235157511595293,0.010587512140408685,0.38713395788465155,0.03539795033559016,0.9559270355027766
13,2012-09-06,EA,ECB,initiation,1,OMT,medium,1,-3.187617504087416e-4,1.1734486699275928,0.009014857286109955,0.6568029828985381,195,TRUE,0.011453922653395485,0.8984220295845707,0.00526058624663513,0.5835462592115146,0.007396238340005176,0.5801456550563304,0.013589574746765531,0.8703348693391532,0.0039915191314805545,0.1807605833418475,0.016140010776680293,0.5398195663368502
14,2015-01-22,EA,ECB,initiation,1,APP,high,1,-2.461322165628113e-4,0.7433699725726846,0.009408828010933854,0.23766781490954889,197,TRUE,0.002969778731485817,0.2231894001268685,0.0021366565581295033,0.227090616987209,0.026771832219901023,2.0119981027904457,0.027604954393257334,1.6939121250163651,0.0471714320870403,2.046764643363381,0.04885904977382225,1.565716556299861
15,2016-03-10,EA,ECB,expansion,1,APP,high,1,-9.830659563881995e-4,0.8303140682904224,0.013621188345840012,0.3123768470616609,197,TRUE,-0.02263612519688462,-1.1750925998606545,-0.02255274387264356,-1.655710449046929,-6.158609747939948e-4,-0.03197074003297143,-6.99242299035052e-4,-0.029638216529026613,0.0019881877764016623,0.05958909312674013,0.004659690884212102,0.10314442676689209
16,2019-09-12,EA,ECB,restart,1,APP_restart,medium,2,8.717990740289145e-5,0.5877555072182405,0.0082304727532892,0.32743721232607786,195,TRUE,0.005372495330538615,0.46156861142620587,0.002355577758421699,0.2862019994514074,0.007379422098188862,0.6339902412995516,0.010396339670305777,0.729281256029804,0.006279012218926936,0.3114518547132304,-0.002098796091417495,-0.07688632846332544
17,2020-03-18,EA,ECB,initiation,1,PEPP,high,1,7.727059048234099e-6,0.798118108588369,0.006686113944933107,0.472978667477349,195,TRUE,-0.03899189648829912,-4.1236859923834395,-0.014780034995170166,-2.210556852141418,0.0012529642781052702,0.13251038569334578,-0.022958897215023685,-1.9825156431017854,0.11655573063370753,7.116791333033986,0.08420999769048294,3.7974628969327124
18,2020-06-04,EA,ECB,expansion,1,PEPP,medium,2,-7.055009289513452e-4,0.6363160182248528,0.014153474305724861,0.5148148534899858,197,TRUE,0.028411402916817343,1.4194320936011269,-0.001706301057833576,-0.12055704634609776,0.015540410965595757,0.7763980587970383,0.04565811494024667,1.8624914548917355,-0.012959617869278083,-0.3738122333721047,-0.007323749045256944,-0.156017764563458
19,2013-04-04,JP,BoJ,initiation,1,QQE,high,1,0.0012709182004441296,0.16701282546030283,0.011801441483351417,0.013131279380320316,192,TRUE,0.04979596641145386,2.9836241254892193,0.019845211246291915,1.6815921406116399,0.03492866080590335,2.0928200125774064,0.0648794159710653,3.1740316069527084,0.0798437970370481,2.7620434071975573,0.05441620507326953,1.3902626371199418
20,2014-10-31,JP,BoJ,expansion,1,QQE2,high,1,-5.226672476519443e-5,0.08521416889021623,0.012164049634200957,0.00207682577596668,194,TRUE,0.0523893763737674,3.0454399981950306,0.046183671166196524,3.7967348502380784,0.07344785383269016,4.269587602032598,0.07965355904026103,3.7806491371512196,0.06768500577474286,2.2716355760242344,0.07927019795262213,1.9648772151044094
